siren,nom,date_creation
941101123,"SHENZHEN APPLE BROTHER TECHNOLOGY CO.,LTD",2025-01-01
941420853,APPLE BACK 2,2024-02-28
943408856,SUGAR APPLE (SUGAR APPLE),2024-03-01
944352996,APPLE PIE,2016-01-18
947972766,ROUNDTABLE - NOPILLO,2022-12-08
948575410,APPLE JUICE CAPITAL,2023-01-30
949612345,TOM TORRET (GOLDEN APPLE),2023-03-07
949766166,APPLE STORE (APPLE STORE),2023-03-02
951366814,GREEN APPLE,2023-04-05
952867398,LEYSAN LUTFRAKHMANOVA (GOOD APPLE),2023-06-01
953204237,ZOE NICHELSON (RED APPLE),2023-07-01
953752698,APPLE NAIL,2023-05-24
953985108,APPLE JACK CONSEILS,2023-05-31
981086713,APPLE SNOW SARL (APPLE SNOW SARL),2023-10-31
981441488,APPLE BIO* (APPLE BIO),2023-12-01
982025579,APPLE STREET,2024-01-02
982510406,WILLIAM BASCLE (GREEN APPLE),2023-12-15
983990110,FREE LANCE - JB RAUTUREAU,2024-01-26
984378125,UK LOCO LIMITED,2024-02-01
984656108,APPLE PIE (APPLE PIE),2024-02-12
988400131,GREEN APPLE LOFT,2025-06-17
